BeforeHab0_5,AfterHab0_5,,BeforeNoHab,AfterNoHab,,BeforeHab1,AfterHab1,,BeforeHab2,AfterHab2,,BeforeHab0_75,AfterHab0_75,,BeforeHab0_625,AfterHab0_625,,BeforeConst12,AfterConst12,,BeforeConst15,AfterConst15,,BeforeConst18,AfterConst18,,BeforeConst22,AfterConst22,,Iteration_CRS24hr,AcclimLevelCRS24hr,,Iteration_CRS8hr,AcclimLevelCRS8hr,,Iteration_CRS1hr,AcclimLevelCRS1hr,,Iteration_CRS0_5hr,AcclimLevelCRS0_5hr,,Iteration_CRS0_1hr,AcclimLevelCRS0_1hr,,PulseDurationCRS,TimeToAcclimationCRS,,Iteration_CRAS1hr1hr,AcclimLevelCRAS1hr1hr,,Iteration_CRAS0_5hr1_5hr,AcclimLevelCRAS0_5hr1_5hr,,Iteration_CRAS0_2hr1_8hr,AcclimLevelCRAS0_2hr1_8hr,,Iteration_CRAS0_1hr1_9hr,AcclimLevelCRAS0_1hr1_9hr,,Iteration_CRAS0_05hr1_95hr,AcclimLevelCRAS0_05hr1_95hr,,Iteration_CRAS0_025hr1_975hr,AcclimLevelCRAS0_025hr1_975hr,,Iteration_CRAS0hr2hr,AcclimLevelCRAS0hr2hr,,CRAS0hr2hrExtTestAnimal,CRAS0hr2hrExtTestDay0,CRAS0hr2hrExtTestDay1,CRAS0hr2hrExtTestDay2,CRAS0hr2hrExtTestDay3,CRAS0hr2hrExtTestDay4,CRAS0hr2hrExtTestDay5,,PulseDurationAsym,TimeToAcclimationCRAS,,,CycleType,PulseDuration,RecoveryTime,CycleDuration,Iterations,TotalTimeAt4C,AverageTemp,TimeToAcclimation,,,HDN0,HDN1,HDN2,HDN3,HDN4,HDN5,,HRN0,HRN1,HRN2,HRN3,HRN4,HRN5,,HDA0,HDA1,HDA2,HDA3,HDA4,HDA5,,HRA0,HRA1,HRA2,HRA3,HRA4,HRA5,,TTEAnimal,TTETemp,TempThresholdHealthBefore,TempThresholdHealthAfter,,,ATTMTime,ATTMDown1,ATTMDown2,ATTMDown3,ATTMUp1,ATTMUp2,ATTMUp3,,FeedingInterval4C,FeedingInterval22C,,,,,,,Comments
5,4,,5,0,,5,3,,5,0,,5,3,,5,4,,5,0,,5,1,,5,1,,5,1,,1,3,,1,2,,1,0,,1,2,,1,2,,24,14,,1,2,,1,3,,1,3,,1,3,,1,2,,0,2,,0,3,,7,5,4,3,3,3,2,,1,4,,,Sym,24,24,48,7,168,12,14,,,5,3,3,3,2,2,,2,4,5,5,5,5,,5,5,5,3,3,3,,4,5,5,5,5,5,,1,15,5,4,,,0,22,23,23,2.9,1,1.6,,137,7,,,,,,,BeforeHab and AfterHab come from data from 10/14/2019; 10/29/2019
5,4,,5,0,,5,1,,5,0,,5,4,,5,4,,5,0,,5,1,,5,0,,5,0,,2,2,,2,3,,13,2,,25,2,,121,3,,8,11,,13,3,,13,2,,13,2,,13,3,,13,3,,12,3,,12,4,,8,5,5,4,3,3,2,,0.5,4,,,Sym,8,16,24,11,88,14.66666667,11,,,5,3,3,3,3,2,,2,4,5,5,5,5,,5,5,4,3,3,2,,3,5,5,5,5,5,,2,15,5,4,,,5,17,15,15,8,8,8,,178,7,,,,,,,"BeforeNoHabituation and AfterNoHabituation data corresponds to animals of experiments 11/25/2019 and 03/17/2020, as reported in the document E:\Chris - Data\Proj4 - 4C habituation\Data analysis\Data analysis proj4.xlsx"
5,4,,5,0,,5,3,,5,0,,5,4,,5,4,,5,1,,5,1,,5,1,,5,1,,3,2,,3,2,,25,2,,49,3,,241,4,,1,4,,25,4,,25,4,,25,3,,25,3,,25,2,,24,3,,24,3,,9,5,5,4,3,3,2,,0.2,5,,,Sym,1,1,2,48,48,12,4,,,5,2,2,2,2,2,,1,3,5,5,5,5,,5,5,4,4,3,3,,3,5,5,5,5,5,,3,15,5,4,,,10,14,11,12.5,11,10,10.5,,111,8,,,,,,,TTS = time to sickness
5,4,,5,1,,5,1,,5,0,,5,2,,5,5,,5,0,,5,2,,5,3,,5,1,,4,2,,4,3,,37,4,,73,4,,361,4,,0.5,4,,37,3,,37,4,,37,3,,37,5,,37,3,,36,2,,36,4,,10,5,4,4,3,3,3,,0.1,3,,,Sym,0.5,0.5,1,96,48,12,4,,,5,5,4,4,3,2,,2,4,5,5,5,5,,5,5,4,4,3,3,,3,5,5,5,5,5,,1,10,5,4,,,15,13,9,10,12,12,12,,56,6,,,,,,,"HDN, HRN, etc = Decay-Recovery experiments (e.g. HDN = health decay naïve, HRA = health recovery acclimated)."
5,4,,5,0,,5,3,,5,0,,5,3,,5,5,,5,0,,5,2,,5,2,,5,1,,5,2,,5,2,,49,5,,97,5,,481,5,,0.1,4,,49,5,,49,5,,49,4,,49,5,,49,5,,48,5,,48,5,,11,5,5,3,3,2,2,,0.05,7,,,Sym,0.1,0.1,0.2,480,48,12,4,,,5,4,4,3,3,2,,2,3,4,5,5,5,,5,5,4,3,3,3,,3,5,5,5,5,5,,2,10,5,4,,,20,11,7,8,13.5,13,13.5,,30,7,,,,,,,TTE = Temperature threshold experiments.
5,5,,5,0,,5,1,,5,2,,5,4,,5,4,,5,4,,5,3,,5,4,,5,1,,6,3,,6,2,,61,5,,121,5,,,,,,,,61,5,,61,5,,61,5,,61,5,,61,4,,60,5,,60,5,,12,5,4,4,3,2,2,,0.025,4,,,Asym,1,1,2,48,48,12,4,,,5,4,4,3,3,3,,2,4,5,5,5,5,,5,5,4,3,3,3,,3,5,5,5,5,5,,3,10,5,4,,,25,9.5,6,7,15,15,15,,63,9,,,,,,,ATTM = abrupt transition temperature measurement
5,5,,5,0,,5,1,,5,0,,5,2,,5,4,,5,4,,5,5,,5,2,,5,1,,7,2,,7,2,,,,,,,,,,,,,,,,,,,,73,5,,,,,73,4,,72,5,,,,,13,5,4,3,3,3,3,,0,5,,,Asym,0.5,1.5,2,48,24,16,4,,,5,2,2,2,2,2,,2,4,5,5,5,5,,5,5,4,4,4,4,,3,5,5,5,5,5,,1,5,5,2,,,30,8,5,5.5,15.5,16,16,,,4,,,,,,,
5,5,,5,0,,5,2,,5,0,,5,3,,5,4,,5,3,,5,4,,5,4,,5,1,,8,5,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,85,5,,80,5,,,,,14,5,4,3,3,3,2,,,,,,Asym,0.2,1.8,2,60,12,18.4,5,,,5,2,2,2,2,2,,3,4,5,5,5,5,,5,5,3,4,3,3,,4,5,5,5,5,5,,2,5,5,2,,,35,7,4,4.9,16,17,17,,,15,,,,,,,
5,5,,5,0,,5,3,,5,0,,5,3,,5,4,,5,3,,5,5,,5,4,,5,1,,9,5,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,97,5,,,,,,,,15,5,4,3,3,2,2,,,,,,Asym,0.1,1.9,2,36,3.6,19.2,3,,,5,4,3,3,3,2,,2,4,5,5,5,5,,5,5,4,3,3,3,,3,4,5,5,5,5,,3,5,5,3,,,40,6.5,3.5,4,16.5,17.5,17.5,,,10,,,,,,,
5,5,,5,0,,5,1,,5,0,,5,3,,5,4,,5,3,,5,4,,5,4,,5,2,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5,5,4,3,3,2,,,,,,Asym,0.05,1.95,2,48,2.4,19.6,7,,,5,4,4,3,3,3,,2,4,5,5,5,5,,5,5,4,3,2,3,,4,5,5,5,5,5,,1,20,5,5,,,45,5.5,3.2,3.8,17,18,18,,,12,,,,,,,
5,5,,,,,,,,,,,,,,,,,5,5,,5,4,,5,3,,5,0,,,,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,5,4,3,3,3,,,,,,Asym,0.025,1.975,2,72,1.8,19.8,4,,,5,3,3,3,3,3,,2,3,5,5,5,5,,5,5,3,3,3,3,,4,5,5,5,5,5,,2,20,5,5,,,50,5,2.1,3,17,18.5,18.5,,,6,,,,,,,
5,5,,,,,,,,,,,,,,,,,5,4,,5,5,,5,3,,5,1,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5,4,4,3,3,3,,,,,,Asym,0,2,2,1,0,20,4,,,5,3,3,3,2,2,,2,4,5,5,5,5,,5,5,4,3,3,3,,3,5,5,5,5,5,,3,20,5,5,,,55,4.5,2.1,2.8,17.5,19,19,,,13,,,,,,,
5,5,,,,,,,,,,,,,,,,,5,5,,5,5,,5,3,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT1,5,5,5,4,4,4,,,,,,,,,,,,,,,,5,2,2,2,2,1,,1,1,3,4,5,5,,5,5,4,3,3,3,,3,5,5,5,5,5,,1,16,5,5,,,60,4,2,2.7,18,19,19,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT2,5,5,5,4,4,4,,,,,,,,,,,,,,,,5,4,4,3,3,2,,3,4,5,5,5,5,,5,5,4,3,3,4,,4,5,5,5,5,5,,2,16,5,5,,,65,3.8,2,2.5,18,19,19,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G6s1,5,5,5,4,4,4,,,,,,,,,,,,,,,,5,4,4,3,3,3,,2,4,5,5,5,5,,5,5,4,3,4,4,,3,4,5,5,5,5,,3,16,5,5,,,70,3.6,2,2.2,18.5,19,19,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G6s2,5,5,4,4,4,4,,,,,,,,,,,,,,,,5,2,2,2,2,2,,3,4,5,5,5,5,,5,5,4,4,3,3,,3,5,5,5,5,5,,1,17,5,5,,,75,3.2,1.8,2,18.6,19,19,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,3,4,5,5,5,5,,5,5,4,4,3,4,,3,5,5,5,5,5,,2,17,5,5,,,80,3,1.8,1.9,18.8,19.5,19.5,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,3,3,,2,4,5,5,5,5,,5,5,4,4,3,3,,3,5,5,5,5,5,,3,17,5,5,,,85,2.9,1,1.8,18.9,19.5,19.7,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,2,1,,2,4,5,5,5,5,,5,5,4,3,4,3,,3,5,5,5,5,5,,1,18,5,5,,,90,2.9,1,1.7,18.9,19.8,19.9,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,2,4,5,5,5,5,,5,5,4,3,3,3,,3,5,5,5,5,5,,2,18,5,5,,,95,2.8,1,1.7,19,19.9,19.9,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,1,,2,4,5,5,5,5,,5,5,5,3,3,3,,3,5,5,5,5,5,,3,18,5,5,,,100,2.9,1,1.6,19,20,19.9,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,3,3,,2,4,4,5,5,5,,5,5,4,3,3,3,,4,5,5,5,5,5,,1,19,5,5,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,3,4,5,5,5,5,,5,5,4,3,4,3,,3,5,5,5,5,5,,2,19,5,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,3,3,3,,1,3,5,5,5,5,,5,5,5,4,4,3,,4,5,5,5,5,5,,3,19,5,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,2,4,5,5,5,5,,5,5,4,4,4,3,,3,5,5,5,5,5,,1,14,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,2,4,5,5,5,5,,5,5,4,3,3,4,,2,5,5,5,5,5,,2,14,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,1,1,3,4,5,5,,5,5,3,4,3,3,,3,5,5,5,5,5,,3,14,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,2,1,,3,4,5,5,5,5,,5,5,3,3,3,3,,3,4,5,5,5,5,,1,13,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,3,2,,2,4,5,5,5,5,,5,5,4,4,3,3,,4,5,5,5,5,5,,2,13,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,2,1,,2,3,5,5,5,5,,5,5,4,3,3,4,,4,5,5,5,5,5,,3,13,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,2,2,1,,1,0,0,0,0,0,,5,5,4,3,3,3,,3,5,5,5,5,5,,1,12,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,2,1,,2,4,5,5,5,5,,5,5,4,3,4,4,,3,5,5,5,5,5,,2,12,5,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,5,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,5,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,4,,,,,,,,,,,,,,,,,,,
